cluster_lat,cluster_lons
34.1915,42.0313
36.335,43.1189
36.3455,43.1278
36.3323,43.1384
36.3282,43.1011
36.355,43.155
36.3513,43.0928
36.3579,43.0994
36.3081,43.1481
32.0259,44.3462
36.3072,43.1999
33.3491,43.786
33.3645,43.7665
36.396,43.1506
36.3974,43.1448
36.3809,42.4674
36.3926,42.4819
17.4046,44.02
16.889,42.551
33.6039,36.1361
33.6117,36.1397
33.6094,36.1234
33.6191,36.1184
33.6267,36.1061
33.6165,36.1542
33.615,36.1818
33.604,36.1979
33.5165,36.4897
33.5106,36.4855
33.5248,36.4814
33.5249,36.4814
33.5087,36.4698
33.5149,36.4665
33.5224,36.4584
33.4933,36.4693
33.5112,36.4433
33.4952,36.4972
33.5066,36.421
33.5147,36.3992
33.5105,36.3887
33.5181,36.3841
33.5283,36.3836
33.5126,36.3721
33.5186,36.3632
33.5134,36.35
33.5284,36.3524
33.5284,36.3523
33.5237,36.3318
33.5388,36.3653
33.5043,36.3324
33.4975,36.3335
33.4983,36.3166
33.5099,36.3095
33.5216,36.3089
33.5216,36.3088
33.5066,36.2921
33.4854,36.3005
33.4731,36.3071
33.473,36.3071
33.464,36.3208
33.4709,36.3296
33.4745,36.3373
33.4706,36.2891
33.4579,36.303
33.4877,36.3483
33.5172,36.2767
33.5215,36.2786
33.5331,36.2869
33.5436,36.2947
33.484,36.3744
33.545,36.3863
33.5503,36.4005
33.5379,36.4005
33.5518,36.3148
33.5586,36.3262
33.5499,36.3397
33.5583,36.4409
33.5472,36.46
33.558,36.4727
33.5769,36.4477
33.5909,36.4406
33.5956,36.4331
33.527,36.4202
33.5069,36.5189
33.5282,36.5292
33.5706,36.4046
33.4673,36.4198
33.5643,36.3712
33.5811,36.3581
33.5441,36.5077
33.4466,36.3406
33.4899,36.2682
33.4999,36.2476
33.5273,36.2467
34.8832,38.87
34.9568,36.958
34.9574,36.9426
34.9661,36.9392
34.9564,36.9767
34.9377,36.9454
34.9196,36.9449
34.9079,36.9305
34.9059,36.9175
34.9513,36.9993
34.9479,36.9172
34.9562,36.9004
34.8859,36.8755
34.8853,36.8755
34.8599,36.8812
34.834,36.8515
34.9839,36.9158
35.0091,36.9325
34.9832,36.8952
34.9857,36.8602
35.0178,36.8958
34.9577,36.8477
35.0174,36.8596
35.0309,36.9397
35.0438,36.8632
35.9696,38.0284
36.1379,36.8284
35.0257,37.4227
35.001,37.4096
34.9775,37.4248
35.1043,37.4953
35.5532,37.1831
35.48300000000001,37.1532
35.48900000000001,37.2038
35.4844,37.251
35.50199999999999,37.2374
35.4883,37.2871
35.4729,37.3082
35.5088,37.3434
35.4931,37.3593
35.5404,37.3159
36.0545,36.8548
36.0597,36.8695
36.0598,36.8695
36.0351,36.8376
36.2412,37.6848
36.1853,37.5803
34.8617,36.812
34.8591,36.8112
34.87,36.7797
34.8917,36.78
34.8776,36.753
34.8619,36.7059
34.875,36.6913
34.8949,36.6791
34.8978,36.681
34.8427,36.7267
34.8864,36.6481
34.8701,36.653
34.8468,36.6715
34.8232,36.6757
34.822,36.6966
34.8008,36.7116
34.8036,36.7414
34.813,36.7442
34.8188,36.7597
34.901,36.6218
36.4793,37.1467
35.5407,36.7264
35.5406,36.7264
35.5579,36.6863
35.5401,36.6787
35.5252,36.6626
35.5912,36.6851
35.6126,36.685
35.6476,36.6766
35.6445,36.702
35.6444,36.702
35.6365,36.7122
35.6397,36.7367
35.6159,36.7188
35.6045,36.7115
35.5743,36.6581
35.5893,36.6523
35.615,36.6567
35.5654,36.6282
35.5466,36.617
35.5475,36.644
36.2272,38.9734
36.2287,38.9726
35.4598,36.7465
35.435,36.7412
35.4351,36.7405
35.4293,36.77
35.4293,36.7708
35.4137,36.7896
36.1701,37.0401
36.1635,37.0614
34.8866,35.8934
33.6044,36.5158
32.6241,36.1049
32.6217,36.1056
32.6256,36.0981
32.6303,36.0998
32.6208,36.1174
32.6226,36.0914
32.633,36.1109
32.6128,36.0912
32.6111,36.118
32.6103,36.0606
34.5177,37.6319
33.69,36.0963
33.6901,36.0963
33.701,36.1063
33.7011,36.1063
33.7252,36.1024
35.3205,40.1738
35.3202,40.1614
35.3201,40.1614
35.3225,40.1556
35.3238,40.1524
35.33,40.1458
35.3319,40.1461
35.334,40.1477
35.3328,40.1537
35.3372,40.1358
35.3379,40.1268
35.3296,40.1323
35.3434,40.1433
35.321,40.1274
35.3534,40.1391
35.3475,40.1197
35.3591,40.1511
35.3539,40.1719
35.3665,40.1196
35.3691,40.1176
35.3838,40.1208
35.4014,40.1177
35.4025,40.1192
35.4161,40.1073
35.4234,40.0916
35.4251,40.1252
35.3372,40.1854
35.3712,40.184
35.4429,40.0862
35.462,40.0795
35.4781,40.0622
35.2856,40.177
35.8186,38.2169
32.6689,36.06
36.3591,37.4276
36.3739,37.3773
36.4093,37.4041
34.9241,36.7312
34.9134,36.4933
34.8951,36.4953
34.894,36.4962
35.9296,38.4954
35.3739,36.6893
35.9965,37.3033
35.9965,37.3032
35.9727,37.2966
36.3697,37.5149
36.3692,37.5063
36.3479,37.5294
36.3367,37.523
36.2975,37.5429
36.148,36.9472
36.1482,36.9478
36.1679,36.9845
36.1644,37.0017
34.8832,36.5747
33.7472,36.7064
35.7552,36.756
35.7553,36.756
35.7774,36.7694
35.9701,37.2587
34.8908,37.3907
35.2993,40.2081
35.3125,40.2391
35.3092,40.2593
35.2984,40.2894
35.3219,40.2921
35.3333,40.3167
36.1866,36.7239
36.2308,36.692
36.2169,36.6911
36.0958,36.6796
36.1081,36.6946
36.0755,36.6369
36.0898,36.7136
36.0592,36.6968
35.0428,37.4651
35.0583,37.489
36.5258,37.951
30.0488,31.2343
30.0642,31.2201
30.0574,31.1995
30.0146,31.209
30.0771,31.2851
30.0998,31.2203
24.0911,32.8973
31.2878,34.2369
31.3,34.2167
33.3409,44.4927
34.1959,43.8857
33.2982,44.4297
33.3158,44.3515
33.3248,44.4213
33.3164,44.4039
33.3473,44.4116
35.4973,43.2365
34.8855,43.4928
35.4681,44.3922
35.4438,44.3796
35.6748,44.0707
32.5979,44.0165
34.3454,44.4669
33.3912,44.4575
34.9292,43.4888
33.3683,44.3636
33.3805,44.3462
33.1181,35.1397
35.4064,36.8219
36.206,37.1524
36.2091,37.1511
36.2006,37.1433
36.2077,37.1442
36.1992,37.1586
36.1908,37.1269
36.1892,37.1432
36.212,37.1601
36.2191,37.1328
36.2163,37.1213
36.2244,37.1273
36.2245,37.1273
36.2294,37.1175
36.2022,37.1201
36.2028,37.1043
36.2001,37.0976
36.1809,37.112
36.2289,37.1472
36.2168,37.1908
36.2408,37.1125
36.2409,37.1044
36.1763,37.0975
36.1865,37.0849
36.1572,37.1319
36.2232,37.0982
36.2027,37.0727
36.2019,37.0543
36.2543,37.0813
36.24800000000001,37.0549
36.245,37.0336
36.2645,37.0192
36.2707,36.9996
32.8587,35.9082
32.8817,35.93
32.873000000000005,35.9478
32.8096,35.894
32.8095,35.8949
32.8047,35.8566
32.8128,35.92
32.7761,35.8814
33.8068,36.7398
34.5192,37.5055
35.8919,37.2562
35.8911,37.1942
35.8858,37.181
35.8647,37.2103
35.9278,37.1776
35.9059,37.1522
35.9113,37.131
35.9419,37.2224
35.9367,37.212
34.5656,38.2877
34.0013,36.8227
36.1184,37.0509
36.3834,37.5661
36.3763,37.6081
36.4094,37.5796
36.4097,37.5796
36.4337,37.5663
35.0971,36.6116
35.4437,36.6504
35.4933,36.6552
35.4989,36.6401
35.5019,36.6271
35.5061,36.5969
35.5031,36.5768
35.5271,36.5896
35.5184,36.5529
35.4995,36.5406
35.5005,36.5124
35.4913,36.4961
35.4916,36.4716
35.5005,36.4467
35.5103,36.4569
35.4872,36.4444
35.4767,36.4489
35.4737,36.4544
35.4819,36.4297
35.4602,36.4558
35.4454,36.4566
35.4342,36.4495
35.4191,36.4384
35.4106,36.459
35.4605,36.4794
35.4668,36.4945
35.4476,36.4322
35.4561,36.4314
35.4544,36.4096
35.4415,36.397
35.4486,36.3806
35.4598,36.3654
35.4677,36.3772
35.4771,36.3838
35.4828,36.3896
35.4889,36.3912
35.4717,36.4014
35.4449,36.351
35.4386,36.3295
35.4203,36.3633
35.5164,36.4326
35.5239,36.415
35.517,36.4025
35.5342,36.4312
35.5411,36.401
35.5559,36.4119
35.5232,36.38
35.5499,36.379
35.4147,36.3909
35.4144,36.389
35.4494,36.5092
35.4442,36.5152
35.4395,36.5361
35.4405,36.5395
35.3884,36.4589
35.3872,36.486
35.4083,36.4876
35.4144,36.5025
35.4144,36.5098
35.4322,36.4908
35.573,36.3823
35.5731,36.3923
35.5967,36.3877
35.6132,36.3855
35.6245,36.3884
35.6131,36.3625
35.6445,36.3882
35.6547,36.3885
35.6993,36.4247
35.6884,36.4456
35.7015,36.4583
35.7107,36.4757
35.7185,36.4776
35.7319,36.4816
35.7355,36.5
35.7236,36.43
35.7389,36.3982
35.7541,36.4089
35.765,36.3725
35.7571,36.3597
35.7435,36.365
35.7255,36.3582
35.7175,36.3633
35.7672,36.429
35.6997,36.3778
35.6857,36.3892
35.7841,36.4689
35.4439,36.5687
35.4329,36.5874
35.4587,36.5705
35.4708,36.5764
35.7128,36.3323
35.8051,36.3958
35.7991,36.3679
35.823,36.3768
35.8542,36.4055
35.86,36.368
35.5244,36.4823
35.5731,36.3489
35.5604,36.3442
35.8633,36.4353
35.8195,36.4964
35.8072,36.4972
35.8067,36.4967
35.657,36.4397
