date,country,users,frac
9/5/17,iq,25,53
9/6/17,iq,25,54
9/7/17,iq,29,53
9/8/17,iq,31,52
9/9/17,iq,35,52
9/10/17,iq,34,52
9/11/17,iq,33,52
9/12/17,iq,29,51
9/13/17,iq,26,51
9/14/17,iq,22,51
9/16/17,iq,29,43
9/17/17,iq,28,53
9/18/17,iq,30,53
9/19/17,iq,31,52
9/20/17,iq,25,65
9/21/17,iq,22,66
9/22/17,iq,25,65
9/23/17,iq,25,69
9/24/17,iq,21,66
9/25/17,iq,20,59
9/26/17,iq,18,69
9/27/17,iq,20,69
9/28/17,iq,17,68
9/29/17,iq,13,69
9/30/17,iq,13,68
10/1/17,iq,15,66
10/2/17,iq,19,67
10/3/17,iq,19,68
10/4/17,iq,16,69
10/5/17,iq,17,69
10/6/17,iq,16,68
10/7/17,iq,16,67
10/8/17,iq,16,69
10/9/17,iq,14,69
10/10/17,iq,16,70
10/11/17,iq,16,67
10/12/17,iq,17,69
10/13/17,iq,18,68
10/14/17,iq,18,67
10/15/17,iq,18,68
10/16/17,iq,15,69
10/17/17,iq,18,61
10/18/17,iq,19,70
10/19/17,iq,17,69
10/20/17,iq,17,69
10/21/17,iq,20,68
10/22/17,iq,20,69
10/23/17,iq,17,69
10/24/17,iq,19,69
10/25/17,iq,19,64
10/26/17,iq,18,63
10/27/17,iq,19,67
10/28/17,iq,19,66
10/29/17,iq,23,66
10/30/17,iq,22,69
10/31/17,iq,25,66
11/1/17,iq,17,69
11/2/17,iq,13,69
11/3/17,iq,17,70
11/4/17,iq,21,69
11/5/17,iq,22,71
11/6/17,iq,18,71
11/7/17,iq,17,57
11/8/17,iq,18,73
11/9/17,iq,20,67
11/10/17,iq,21,64
11/11/17,iq,18,69
11/12/17,iq,14,75
11/13/17,iq,14,73
11/14/17,iq,11,72
11/15/17,iq,12,73
11/16/17,iq,14,74
11/17/17,iq,15,74
11/18/17,iq,18,73
11/19/17,iq,20,56
11/20/17,iq,18,72
11/21/17,iq,15,69
11/22/17,iq,19,73
11/23/17,iq,14,70
11/24/17,iq,11,71
11/25/17,iq,11,72
11/26/17,iq,12,73
11/27/17,iq,11,61
11/28/17,iq,13,81
11/29/17,iq,14,82
11/30/17,iq,11,82
12/1/17,iq,11,80
12/2/17,iq,11,77
12/3/17,iq,9,63
12/4/17,iq,8,58
12/5/17,iq,10,63
12/6/17,iq,11,82
12/7/17,iq,11,39
12/12/17,iq,8,83
12/13/17,iq,11,61
12/14/17,iq,9,74
12/15/17,iq,11,71
12/16/17,iq,10,75
12/17/17,iq,11,75
12/18/17,iq,9,75
12/19/17,iq,8,76
12/20/17,iq,11,76
12/21/17,iq,11,76
12/22/17,iq,11,76
12/23/17,iq,14,75
12/24/17,iq,13,79
12/25/17,iq,11,76
12/26/17,iq,13,76
12/27/17,iq,19,76
12/28/17,iq,17,76
12/29/17,iq,17,76
12/30/17,iq,20,75
12/31/17,iq,22,74
1/1/18,iq,21,78
1/2/18,iq,21,76
1/3/18,iq,21,76
1/4/18,iq,19,68
1/5/18,iq,21,76
1/6/18,iq,28,77
1/7/18,iq,27,77
1/8/18,iq,25,76
1/9/18,iq,26,77
1/10/18,iq,25,72
1/11/18,iq,26,74
1/12/18,iq,24,74
1/13/18,iq,23,73
1/14/18,iq,36,74
1/15/18,iq,37,75
1/16/18,iq,35,73
1/17/18,iq,35,74
1/18/18,iq,34,73
1/19/18,iq,29,75
1/20/18,iq,30,75
1/21/18,iq,24,75
1/22/18,iq,31,76
1/23/18,iq,31,72
1/24/18,iq,25,73
1/25/18,iq,33,77
1/26/18,iq,30,72
1/27/18,iq,34,74
1/28/18,iq,37,71
1/29/18,iq,36,64
1/30/18,iq,28,76
1/31/18,iq,29,72
2/1/18,iq,26,72
2/2/18,iq,27,71
2/3/18,iq,33,75
2/4/18,iq,33,75
2/5/18,iq,30,75
2/6/18,iq,37,74
2/7/18,iq,41,74
2/8/18,iq,41,75
2/9/18,iq,37,75
2/10/18,iq,37,75
2/11/18,iq,38,75
2/12/18,iq,37,77
2/13/18,iq,41,76
2/14/18,iq,34,77
2/15/18,iq,30,75
2/16/18,iq,39,75
2/17/18,iq,40,76
2/18/18,iq,38,76
2/19/18,iq,31,76
2/20/18,iq,29,77
2/21/18,iq,28,77
2/22/18,iq,36,73
2/23/18,iq,36,76
2/24/18,iq,37,74
2/25/18,iq,31,76
2/26/18,iq,33,76
2/27/18,iq,37,76
2/28/18,iq,42,75
3/1/18,iq,40,74
3/2/18,iq,37,74
3/3/18,iq,38,75
3/4/18,iq,47,76
3/5/18,iq,43,76
3/6/18,iq,42,76
3/7/18,iq,43,76
3/8/18,iq,49,75
3/9/18,iq,49,71
3/10/18,iq,44,73
3/11/18,iq,43,71
3/12/18,iq,45,75
3/13/18,iq,39,76
3/14/18,iq,35,76
3/15/18,iq,30,73
3/16/18,iq,43,76
3/17/18,iq,44,68
3/18/18,iq,38,75
3/19/18,iq,30,66
3/20/18,iq,33,76
3/21/18,iq,44,74
3/22/18,iq,39,65
3/23/18,iq,35,72
3/24/18,iq,35,78
3/25/18,iq,34,76
3/26/18,iq,32,73
3/27/18,iq,36,78
3/28/18,iq,37,78
3/29/18,iq,46,75
3/30/18,iq,55,73
3/31/18,iq,53,73
4/1/18,iq,49,72
4/2/18,iq,50,73
4/3/18,iq,45,76
4/4/18,iq,36,74
4/5/18,iq,38,75
4/6/18,iq,39,76
4/7/18,iq,41,78
4/8/18,iq,40,78
4/9/18,iq,40,78
4/10/18,iq,42,73
4/11/18,iq,44,78
4/12/18,iq,43,79
4/13/18,iq,42,76
4/14/18,iq,45,78
4/15/18,iq,45,78
4/16/18,iq,40,74
4/17/18,iq,42,77
4/18/18,iq,53,76
4/19/18,iq,52,75
4/20/18,iq,48,73
