#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=sy,,,
#,,,
date,country,users,frac
8/30/17,sy,18,69
8/31/17,sy,18,65
9/1/17,sy,10,59
9/2/17,sy,16,59
9/3/17,sy,22,46
9/4/17,sy,23,48
9/5/17,sy,22,53
9/6/17,sy,21,54
9/7/17,sy,17,53
9/8/17,sy,15,52
9/9/17,sy,20,52
9/10/17,sy,21,52
9/11/17,sy,21,52
9/12/17,sy,25,51
9/13/17,sy,27,51
9/14/17,sy,20,51
9/16/17,sy,27,43
9/17/17,sy,29,53
9/18/17,sy,26,53
9/19/17,sy,24,52
9/20/17,sy,18,65
9/21/17,sy,17,66
9/22/17,sy,18,65
9/23/17,sy,19,69
9/24/17,sy,16,66
9/25/17,sy,17,59
9/26/17,sy,17,69
9/27/17,sy,19,69
9/28/17,sy,17,68
9/29/17,sy,14,69
9/30/17,sy,18,68
10/1/17,sy,20,66
10/2/17,sy,18,67
10/3/17,sy,16,68
10/4/17,sy,17,69
10/5/17,sy,17,69
10/6/17,sy,16,68
10/7/17,sy,18,67
10/8/17,sy,21,69
10/9/17,sy,23,69
10/10/17,sy,22,70
10/11/17,sy,23,67
10/12/17,sy,20,69
10/13/17,sy,11,68
10/14/17,sy,16,67
10/15/17,sy,20,68
10/16/17,sy,18,69
10/17/17,sy,18,61
10/18/17,sy,17,70
10/19/17,sy,13,69
10/20/17,sy,14,69
10/21/17,sy,18,68
10/22/17,sy,18,69
10/23/17,sy,14,69
10/24/17,sy,15,69
10/25/17,sy,14,64
10/26/17,sy,11,63
10/27/17,sy,10,67
10/28/17,sy,14,66
10/29/17,sy,15,66
10/30/17,sy,14,69
10/31/17,sy,25,66
11/1/17,sy,21,69
11/2/17,sy,17,69
11/3/17,sy,10,70
11/4/17,sy,14,69
11/5/17,sy,18,71
11/6/17,sy,20,71
11/7/17,sy,18,57
11/8/17,sy,15,73
11/9/17,sy,11,67
11/10/17,sy,12,64
11/11/17,sy,14,69
11/12/17,sy,17,75
11/13/17,sy,19,73
11/14/17,sy,15,72
11/15/17,sy,19,73
11/16/17,sy,17,74
11/17/17,sy,14,74
11/18/17,sy,15,73
11/19/17,sy,21,56
11/20/17,sy,19,72
11/21/17,sy,20,69
11/22/17,sy,20,73
11/23/17,sy,16,70
11/24/17,sy,9,71
11/25/17,sy,11,72
11/26/17,sy,12,73
11/27/17,sy,16,61
11/28/17,sy,13,81
11/29/17,sy,14,82
11/30/17,sy,14,82
12/1/17,sy,11,80
12/2/17,sy,13,77
12/3/17,sy,20,63
12/4/17,sy,21,58
12/5/17,sy,17,63
12/6/17,sy,13,82
12/7/17,sy,14,39
12/12/17,sy,13,83
12/13/17,sy,21,61
12/14/17,sy,18,74
12/15/17,sy,10,71
12/16/17,sy,12,75
12/17/17,sy,21,75
12/18/17,sy,21,75
12/19/17,sy,19,76
12/20/17,sy,20,76
12/21/17,sy,19,76
12/22/17,sy,15,76
12/23/17,sy,16,75
12/24/17,sy,18,79
12/25/17,sy,20,76
12/26/17,sy,22,76
12/27/17,sy,19,76
12/28/17,sy,18,76
12/29/17,sy,19,76
12/30/17,sy,20,75
12/31/17,sy,19,74
1/1/18,sy,17,78
1/2/18,sy,18,76
1/3/18,sy,24,76
1/4/18,sy,28,68
1/5/18,sy,22,76
1/6/18,sy,22,77
1/7/18,sy,21,77
1/8/18,sy,25,76
1/9/18,sy,30,77
1/10/18,sy,28,72
1/11/18,sy,28,74
1/12/18,sy,21,74
1/13/18,sy,24,73
1/14/18,sy,28,74
1/15/18,sy,29,75
1/16/18,sy,24,73
1/17/18,sy,27,74
1/18/18,sy,34,73
1/19/18,sy,37,75
1/20/18,sy,24,75
1/21/18,sy,23,75
1/22/18,sy,28,76
1/23/18,sy,27,72
1/24/18,sy,28,73
1/25/18,sy,26,77
1/26/18,sy,24,72
1/27/18,sy,30,74
1/28/18,sy,26,71
1/29/18,sy,27,64
1/30/18,sy,25,76
1/31/18,sy,25,72
2/1/18,sy,27,72
2/2/18,sy,25,71
2/3/18,sy,26,75
2/4/18,sy,27,75
2/5/18,sy,22,75
2/6/18,sy,26,74
2/7/18,sy,28,74
2/8/18,sy,27,75
2/9/18,sy,25,75
2/10/18,sy,32,75
2/11/18,sy,32,75
2/12/18,sy,27,77
2/13/18,sy,31,76
2/14/18,sy,31,77
2/15/18,sy,34,75
2/16/18,sy,33,75
2/17/18,sy,28,76
2/18/18,sy,30,76
2/19/18,sy,31,76
2/20/18,sy,30,77
2/21/18,sy,34,77
2/22/18,sy,35,73
2/23/18,sy,31,76
2/24/18,sy,27,74
2/25/18,sy,23,76
2/26/18,sy,25,76
2/27/18,sy,25,76
2/28/18,sy,24,75
