#,,,
# The Tor Project,,,
#,,,
# URL: https://metrics.torproject.org/userstats-bridge-country.csv?start=2017-01-01&end=2019-12-31&country=eg,,,
#,,,
date,country,users,frac
8/30/17,eg,614,69
8/31/17,eg,550,65
9/1/17,eg,524,59
9/2/17,eg,669,59
9/3/17,eg,941,46
9/4/17,eg,983,48
9/5/17,eg,924,53
9/6/17,eg,898,54
9/7/17,eg,869,53
9/8/17,eg,860,52
9/9/17,eg,944,52
9/10/17,eg,992,52
9/11/17,eg,1014,52
9/12/17,eg,984,51
9/13/17,eg,981,51
9/14/17,eg,867,51
9/16/17,eg,1031,43
9/17/17,eg,909,53
9/18/17,eg,958,53
9/19/17,eg,996,52
9/20/17,eg,772,65
9/21/17,eg,712,66
9/22/17,eg,706,65
9/23/17,eg,669,69
9/24/17,eg,698,66
9/25/17,eg,762,59
9/26/17,eg,703,69
9/27/17,eg,710,69
9/28/17,eg,703,68
9/29/17,eg,664,69
9/30/17,eg,694,68
10/1/17,eg,721,66
10/2/17,eg,714,67
10/3/17,eg,736,68
10/4/17,eg,770,69
10/5/17,eg,736,69
10/6/17,eg,714,68
10/7/17,eg,718,67
10/8/17,eg,732,69
10/9/17,eg,873,69
10/10/17,eg,788,70
10/11/17,eg,769,67
10/12/17,eg,736,69
10/13/17,eg,735,68
10/14/17,eg,739,67
10/15/17,eg,759,68
10/16/17,eg,760,69
10/17/17,eg,830,61
10/18/17,eg,787,70
10/19/17,eg,743,69
10/20/17,eg,748,69
10/21/17,eg,812,68
10/22/17,eg,815,69
10/23/17,eg,774,69
10/24/17,eg,768,69
10/25/17,eg,735,64
10/26/17,eg,706,63
10/27/17,eg,754,67
10/28/17,eg,756,66
10/29/17,eg,802,66
10/30/17,eg,774,69
10/31/17,eg,809,66
11/1/17,eg,719,69
11/2/17,eg,707,69
11/3/17,eg,699,70
11/4/17,eg,719,69
11/5/17,eg,767,71
11/6/17,eg,737,71
11/7/17,eg,895,57
11/8/17,eg,760,73
11/9/17,eg,694,67
11/10/17,eg,686,64
11/11/17,eg,700,69
11/12/17,eg,669,75
11/13/17,eg,716,73
11/14/17,eg,689,72
11/15/17,eg,708,73
11/16/17,eg,657,74
11/17/17,eg,628,74
11/18/17,eg,666,73
11/19/17,eg,807,56
11/20/17,eg,673,72
11/21/17,eg,699,69
11/22/17,eg,689,73
11/23/17,eg,637,70
11/24/17,eg,543,71
11/25/17,eg,580,72
11/26/17,eg,585,73
11/27/17,eg,699,61
11/28/17,eg,592,81
11/29/17,eg,593,82
11/30/17,eg,568,82
12/1/17,eg,524,80
12/2/17,eg,560,77
12/3/17,eg,702,63
12/4/17,eg,761,58
12/5/17,eg,771,63
12/6/17,eg,623,82
12/7/17,eg,750,39
12/12/17,eg,603,83
12/13/17,eg,762,61
12/14/17,eg,628,74
12/15/17,eg,608,71
12/16/17,eg,624,75
12/17/17,eg,634,75
12/18/17,eg,645,75
12/19/17,eg,650,76
12/20/17,eg,617,76
12/21/17,eg,610,76
12/22/17,eg,584,76
12/23/17,eg,608,75
12/24/17,eg,611,79
12/25/17,eg,644,76
12/26/17,eg,619,76
12/27/17,eg,653,76
12/28/17,eg,713,76
12/29/17,eg,773,76
12/30/17,eg,801,75
12/31/17,eg,802,74
1/1/18,eg,772,78
1/2/18,eg,807,76
1/3/18,eg,773,76
1/4/18,eg,773,68
1/5/18,eg,709,76
1/6/18,eg,740,77
1/7/18,eg,733,77
1/8/18,eg,763,76
1/9/18,eg,732,77
1/10/18,eg,729,72
1/11/18,eg,714,74
1/12/18,eg,691,74
1/13/18,eg,715,73
1/14/18,eg,713,74
1/15/18,eg,729,75
1/16/18,eg,720,73
1/17/18,eg,736,74
1/18/18,eg,715,73
1/19/18,eg,662,75
1/20/18,eg,653,75
1/21/18,eg,683,75
1/22/18,eg,725,76
1/23/18,eg,769,72
1/24/18,eg,716,73
1/25/18,eg,665,77
1/26/18,eg,675,72
1/27/18,eg,675,74
1/28/18,eg,707,71
1/29/18,eg,821,64
1/30/18,eg,710,76
1/31/18,eg,731,72
2/1/18,eg,715,72
2/2/18,eg,643,71
2/3/18,eg,699,75
2/4/18,eg,735,75
2/5/18,eg,727,75
2/6/18,eg,729,74
2/7/18,eg,732,74
2/8/18,eg,705,75
2/9/18,eg,648,75
2/10/18,eg,665,75
2/11/18,eg,717,75
2/12/18,eg,632,77
2/13/18,eg,735,76
2/14/18,eg,703,77
2/15/18,eg,697,75
2/16/18,eg,685,75
2/17/18,eg,702,76
2/18/18,eg,764,76
2/19/18,eg,736,76
2/20/18,eg,719,77
2/21/18,eg,718,77
2/22/18,eg,710,73
2/23/18,eg,643,76
2/24/18,eg,618,74
2/25/18,eg,655,76
2/26/18,eg,693,76
2/27/18,eg,701,76
2/28/18,eg,723,75
3/1/18,eg,669,74
3/2/18,eg,688,74
3/3/18,eg,719,75
3/4/18,eg,754,76
3/5/18,eg,729,76
3/6/18,eg,727,76
3/7/18,eg,728,76
3/8/18,eg,716,75
3/9/18,eg,643,71
3/10/18,eg,643,73
3/11/18,eg,715,71
3/12/18,eg,750,75
3/13/18,eg,756,76
3/14/18,eg,740,76
3/15/18,eg,720,73
3/16/18,eg,679,76
3/17/18,eg,710,68
3/18/18,eg,740,75
3/19/18,eg,651,66
3/20/18,eg,692,76
3/21/18,eg,687,74
3/22/18,eg,618,65
3/23/18,eg,621,72
3/24/18,eg,674,78
3/25/18,eg,709,76
3/26/18,eg,711,73
3/27/18,eg,673,78
3/28/18,eg,722,78
3/29/18,eg,736,75
3/30/18,eg,718,73
3/31/18,eg,727,73
4/1/18,eg,727,72
4/2/18,eg,770,73
4/3/18,eg,775,76
4/4/18,eg,779,74
4/5/18,eg,793,75
4/6/18,eg,752,76
4/7/18,eg,772,78
4/8/18,eg,774,78
4/9/18,eg,762,78
4/10/18,eg,732,73
4/11/18,eg,734,78
